date,Q,CD,HD,lnQ,month_name,dlnQ,dCD,dHD,DX70,DX90,days_in_month,prop_days_over_90,prop_days_under_70
2004-11-01,1680,0.6666666666666666,4.733333333333333,7.426549072397305,Nov,-0.2619062841526389,-10.043010752688172,4.18494623655914,20,0,30,0.0,0.3333333333333333
2004-12-01,2190,0.0,9.0,7.691656822810547,Dec,0.2651077504132422,-0.6666666666666666,4.266666666666667,10,0,31,0.0,0.6774193548387096
2005-01-01,2286,0.0967741935483871,7.32258064516129,7.734558844354756,Jan,0.0429020215442088,0.0967741935483871,-1.67741935483871,10,0,31,0.0,0.6774193548387096
2005-02-01,1814,0.0,5.75,7.503289630675082,Feb,-0.2312692136796741,-0.0967741935483871,-1.57258064516129,5,0,28,0.0,0.8214285714285714
2005-03-01,1739,1.096774193548387,2.193548387096774,7.461065514354283,Mar,-0.0422241163207983,1.096774193548387,-3.556451612903226,26,0,31,0.0,0.16129032258064516
2005-04-01,1684,7.233333333333333,0.0,7.428927194802272,Apr,-0.0321383195520112,6.136559139784946,-2.193548387096774,30,8,30,0.26666666666666666,0.0
2005-05-01,2170,17.70967741935484,0.0,7.682482446534506,May,0.2535552517322337,10.476344086021506,0.0,31,23,31,0.7419354838709677,0.0
2005-06-01,3136,25.4,0.0,8.0507033814703,Jun,0.3682209349357936,7.690322580645159,0.0,30,30,30,1.0,0.0
2005-07-01,4006,32.225806451612904,0.0,8.295548516225763,Jul,0.2448451347554634,6.825806451612905,0.0,31,31,31,1.0,0.0
2005-08-01,3830,27.225806451612904,0.0,8.250620082174692,Aug,-0.0449284340510711,-5.0,0.0,31,31,31,1.0,0.0
2005-09-01,3466,24.566666666666663,0.0,8.150756470275551,Sep,-0.0998636118991402,-2.6591397849462375,0.0,30,30,30,1.0,0.0
2005-10-01,2487,13.225806451612904,0.0,7.818832443803404,Oct,-0.331924026472147,-11.340860215053764,0.0,31,15,31,0.4838709677419355,0.0
2005-11-01,1745,3.066666666666667,1.7666666666666666,7.464509834636528,Nov,-0.3543226091668767,-10.159139784946236,1.7666666666666666,27,2,30,0.06666666666666667,0.1
