earn_per_hour,age,grade92,sex,race,marital,ownchild,emp_class,uhours
8.25,21,39,1,1,7,0,"Private, For Profit",34
48.07675,28,43,1,1,7,0,"Private, Nonprofit",40
62.5,51,44,1,4,1,0,"Private, For Profit",40
14.957111111111113,24,43,2,1,7,0,Government - Local,45
34.615249999999996,62,44,1,1,1,0,Government - Federal,40
62.5,47,43,1,4,1,2,"Private, For Profit",40
18.0,56,43,2,1,1,0,"Private, For Profit",40
9.5,24,42,1,1,1,0,"Private, For Profit",45
40.7692,35,42,1,1,1,1,"Private, For Profit",50
40.86525,30,42,2,1,1,1,"Private, For Profit",40
24.325,27,43,2,1,7,0,"Private, For Profit",40
14.0,27,40,2,1,7,0,"Private, For Profit",40
48.075,26,43,1,3,7,0,"Private, For Profit",40
48.075,39,43,1,1,1,0,"Private, For Profit",40
30.0,29,43,2,1,1,0,"Private, For Profit",40
35.76,28,43,2,1,7,0,Government - State,50
34.6,53,43,2,1,7,0,Government - State,50
17.2,46,38,1,1,1,0,"Private, For Profit",40
32.05111111111111,50,41,1,1,1,2,"Private, For Profit",45
21.6345,51,39,2,1,1,2,"Private, For Profit",40
20.146428571428572,51,43,2,2,3,0,Government - Local,42
11.0,43,40,1,1,5,0,"Private, For Profit",40
16.0,48,40,2,2,7,0,Government - Local,40
19.0,64,40,1,1,7,0,Government - Federal,40
24.033333333333335,57,46,1,4,1,3,"Private, For Profit",60
28.833333333333332,39,46,2,4,1,3,"Private, For Profit",60
62.5,42,43,1,1,1,2,"Private, For Profit",40
21.625,38,41,2,1,1,2,"Private, For Profit",40
8.0,45,34,1,1,6,0,"Private, For Profit",40
31.538400000000003,45,43,1,1,7,0,"Private, For Profit",50
9.5,47,40,1,1,5,0,"Private, For Profit",40
9.25,20,40,2,1,7,0,"Private, For Profit",30
10.5,52,39,1,1,5,0,"Private, For Profit",30
27.77777777777778,37,43,1,1,7,0,"Private, For Profit",45
10.5,38,35,2,1,5,2,"Private, For Profit",20
7.8,16,37,2,1,7,0,"Private, For Profit",15
13.825,35,39,2,1,5,0,"Private, For Profit",40
11.5,39,39,2,1,4,2,"Private, For Profit",40
19.428571428571427,55,35,1,1,1,3,"Private, For Profit",35
9.0,51,39,1,1,1,0,"Private, For Profit",40
