female,age,education,ln_wage
0,39,MA,3.8503272546022442
1,32,MA,3.784189633918261
0,27,MA,3.516124491189194
1,39,MA,2.347558458636777
0,25,MA,2.4820507236586553
0,41,MA,3.8728506911036225
1,40,Professional,4.27826553371462
1,29,Professional,4.1604824980582364
1,30,PhD,3.073850052817943
1,31,MA,3.8525967278104063
0,29,MA,3.2309396060637496
0,29,MA,3.179649778367364
1,34,MA,3.585114886475528
0,34,Professional,4.27826553371462
0,36,MA,3.905602437625223
1,55,MA,3.8503272546022442
0,50,PhD,3.937339813411936
0,28,MA,4.1604824980582364
1,32,MA,2.658509755542074
1,64,MA,1.208960345836975
0,49,Professional,4.27826553371462
0,37,PhD,2.956506227053154
1,40,MA,2.8229698820090032
0,58,Professional,3.959600313172369
0,62,MA,3.005298867423203
0,31,MA,4.0551219824004106
1,56,MA,3.5303086030406856
0,51,PhD,3.7186497457791976
0,42,MA,4.27826553371462
0,62,Professional,3.59836376236116
1,27,MA,2.9565105604002095
0,48,MA,4.0551219824004106
0,41,MA,3.8728004256064557
1,47,MA,2.5998263306947935
1,62,MA,3.0742892627095375
1,51,MA,3.0492730404820207
0,42,Professional,4.27826553371462
0,52,PhD,3.8728004256064557
1,52,MA,2.347558458636777
0,42,MA,2.995732273553991
1,44,MA,3.2741307615777973
0,36,MA,2.9565105604002095
1,48,MA,4.27826553371462
1,28,MA,3.42650768961832
1,33,MA,2.9562115153917077
1,33,MA,4.01232072674351
1,49,MA,2.4849066497880004
1,44,MA,3.0742892627095375
0,29,MA,2.668824154601373
1,33,MA,2.9562115153917077
1,39,MA,3.7612001156935624
1,44,MA,3.6496550200235
0,33,MA,3.4011973816621555
0,35,MA,2.4203681286504293
1,36,MA,3.2733640101522705
1,39,MA,3.258096538021482
0,36,MA,4.27826553371462
0,52,MA,3.2188758248682006
1,56,MA,3.571692334614245
0,39,PhD,3.544292891955273
1,52,PhD,4.0551219824004106
0,32,MA,3.3619713351613183
0,53,MA,3.872798692268385
1,32,MA,4.27826553371462
1,31,MA,3.3619713351613183
0,37,PhD,3.3619713351613183
0,31,PhD,3.7266146894912233
1,42,Professional,3.8318969609488613
0,44,MA,3.571643143975916
0,32,MA,3.649657740960155
1,29,PhD,2.946450113374368
1,42,Professional,3.0075667312009937
0,42,Professional,4.062356886728703
1,31,MA,3.219875325201284
0,40,MA,3.5553480614894135
0,60,Professional,2.519308076505333
0,53,MA,3.649657740960155
0,57,MA,4.748269162960356
1,42,MA,3.8727622914748436
1,51,MA,2.417400767422627
0,51,MA,2.9052056343544326
0,50,MA,3.6982107815428207
0,40,Professional,3.179646311676199
1,51,MA,4.27826553371462
0,48,PhD,3.831976408858159
1,53,MA,4.27826553371462
1,32,MA,2.9444389791664403
0,34,PhD,2.8511399335700434
1,32,MA,2.733360509058375
1,31,MA,3.7948372913397095
0,34,MA,3.199448327202102
1,41,MA,3.494232247629345
1,55,MA,2.668824154601373
1,28,MA,2.9457539037477494
1,48,MA,3.179646311676199
0,46,Professional,3.4673318508191446
1,43,MA,3.2379232651216294
0,61,MA,2.976294579661516
0,32,PhD,2.946450113374368
0,30,MA,3.125663443146022
1,31,MA,2.9457539037477494
1,31,MA,2.9457539037477494
1,25,PhD,4.0551228490683195
0,50,MA,3.0618632760198157
0,37,PhD,3.324236340526027
1,35,MA,2.9457539037477494
1,35,MA,3.847484484290575
0,36,MA,2.668824154601373
1,50,MA,3.3619713351613183
0,49,MA,2.2512917986064953
0,64,MA,4.411796926339143
0,41,PhD,3.872798692268385
0,48,MA,3.110659383081029
1,60,MA,2.9559514035421466
0,58,PhD,4.0551219824004106
1,57,MA,3.912023005428146
0,55,Professional,3.1780538303479458
0,56,PhD,3.0044442141560124
1,57,MA,3.58351893845611
1,51,MA,3.3612430661551227
0,34,MA,3.3617633124167483
0,45,PhD,3.8727622914748436
0,60,MA,3.8728004256064557
1,34,PhD,4.27826553371462
0,34,MA,3.46733358416022
